Word,Count
to,28
in,19
rs,11
issue,10
out,10
from,9
for,9
ROB,9
Read,8
station,7
logic,7
and,7
Write,7
reg,6
send,6
Handle,6
Determine,6
reservation,6
instr,6
Issue/Decode,6
Gen,6
branches,6
TODO:,6
immediates,6
is,6
which,6
zero,5
regfile,5
but,4
=,4
no,4
ALU,4
////////////////////////////////////////////////////,4
Logic,4
CDB,4
not,4
Set,4
values,4
Asynchronous,4
OP,4
cdb),4
4-way,4
file,4
snoop),4
8,4
sel,4
than,4
control,4
Ports,4
(rs1/rs2,4
are,3
of,3
branch,3
width,3
Edited,3
read,3
found,3
RS,3
:,3
<=,3
data,3
Branch,3
0,3
check,3
stack,3
always,2
Issue,2
equal,2
=============================================,2
Zero,2
8-bits,2
fu_sel,2
Memory,2
or,2
here,2
stall,2
assignments---------------,2
overwrite,2
Module:,2
FIFO,2
(tail_en),2
New,2
assign,2
dp_async_ram.v,2
GP,2
encodings,2
RAM,2
Port,2
Input,2
Codes,2
initial,2
Bidirectional,2
PC,2
Initial,2
input,2
with,2
SP,2
update,2
(funct3),2
on,2
rob,2
(return,2
greater,2
r0,2
\rob,\,2
valid,2
1,2
(update,2
queue,2
x0,2
else,2
dispatch,2
Shift,2
The,2
Frequencies,2
snoop,2
the,2
case,2
Clock,2
-----------Variable,2
(head_en),2
register),2
write,2
==,2
FUNCT3,2
Dual,2
output,2
tag,2
Here,2
Define,2
addr,2
Different,2
'0;,2
\file,\,2
less,2
\values,\,2
cdb_valid,2
prodtable,2
(reg,2
Reset,2
||,1
at,1
down,1
[0],1
&&,1
instruction,1
compute,1
Reservation,1
Constant.vh,1
pass,1
asynchronous,1
\0,\,1
Date,1
(oldest,1
R/IMM,1
Copy,1
imm_sel,1
oldest,1
Kill,1
Coder,1
FU,1
bit,1
pointers,1
if(!rs_i.alu_en),1
Pri:,1
Check,1
Tala,1
(single,1
Dispatch,1
wr_en,1
don't,1
Deepak,1
Regfile,1
also,1
Instr,1
BR,1
compare,1
wn,1
what,1
fu_sel_wire;,1
prod,1
DATAOUT,1
clock),1
find,1
Snoop,1
Start,1
RS),1
loop,1
Kumar,1
\table,\,1
Width-related,1
Funct,1
Opcodes,1
[1],1
(issue_i.br_busy)),1
Synchronous,1
previous,1
bits,1
constants,1
ld/st,1
using,1
pc_n,1
ldstore,1
instruction),1
give,1
\ld/st,\,1
size,1
\cdb,\,1
Function,1
alu(rr),1
length,1
Load/store,1
locations,1
linear,1
!cdb_busy_i;,1
table,1
wide,1
Start---------------------------,1
pro,1
(one,1
bottom,1
br_true,1
tail_en,1
-----------Code,1
\regfile,\,1
Don't,1
rs1/rs2,1
register,1
JAL/R,1
value,1
buffer,1
ISSUE,1
tracking,1
\else,\,1
31-October-2005,1
-----------Internal,1
!stall_i);,1
variables-------------------,1
(((issue_o.br_en),1
second,1
IN,1
[2],1
fifo,1
alu_rdy_o,1
Need,1
facilitate,1
understand,1
This,1
rn,1
/,1
per,1
LUI/AUIPC,1
first,1
DECODE,1
Prod,1
