File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\Thesis\RISCV\RISC_V\rtl\alu.sv,38,29,23,0,9,2,0,8,0,0
E:\Thesis\RISCV\RISC_V\rtl\branch_comp.sv,29,20,14,0,9,2,0,8,0,0
E:\Thesis\RISCV\RISC_V\rtl\br_control.sv,220,173,70,25,40,7,7,42,1,0
E:\Thesis\RISCV\RISC_V\rtl\br_ram.sv,85,62,21,7,10,0,13,37,6,21
E:\Thesis\RISCV\RISC_V\rtl\cdb_arbiter.sv,84,69,20,5,10,0,5,12,1,0
E:\Thesis\RISCV\RISC_V\rtl\decode.sv,205,169,123,3,31,2,5,20,5,17
E:\Thesis\RISCV\RISC_V\rtl\FIFOv2.sv,53,43,20,4,6,3,4,45,3,17
E:\Thesis\RISCV\RISC_V\rtl\finegrained_mt.sv,304,227,34,0,48,0,29,51,6,24
E:\Thesis\RISCV\RISC_V\rtl\imem.sv,49,40,27,0,8,0,1,0,1,0
E:\Thesis\RISCV\RISC_V\rtl\instr.sv,62,39,14,0,18,0,5,17,5,17
E:\Thesis\RISCV\RISC_V\rtl\issue.sv,400,344,185,12,39,13,17,119,6,24
E:\Thesis\RISCV\RISC_V\rtl\load_fu.sv,169,133,99,1,31,2,5,20,5,17
E:\Thesis\RISCV\RISC_V\rtl\pc.sv,90,71,32,6,13,0,6,18,5,17
E:\Thesis\RISCV\RISC_V\rtl\prod_table.sv,63,52,15,7,9,1,2,14,0,0
E:\Thesis\RISCV\RISC_V\rtl\regfile.sv,56,37,14,3,14,1,5,29,0,0
E:\Thesis\RISCV\RISC_V\rtl\reservation_station.sv,228,188,76,28,30,0,10,45,1,0
E:\Thesis\RISCV\RISC_V\rtl\rob.sv,112,80,32,11,22,7,10,52,0,0
E:\Thesis\RISCV\RISC_V\rtl\rob_ram.sv,85,62,21,7,10,0,13,37,6,21
E:\Thesis\RISCV\RISC_V\rtl\rs_alu.sv,46,35,14,0,9,0,2,4,1,0
E:\Thesis\RISCV\RISC_V\rtl\struct.v,480,376,344,0,93,3,11,18,0,0
E:\Thesis\RISCV\RISC_V\rtl\constants.vh,105,75,0,0,18,3,12,31,2,3
